parcel_id,address,price,sqft,metro_dist,grocery,kid_friendly,status,zipcode
24440004100,"4331 19TH ST
",1000,3348,1.6971659191324744,N,N,Built,
24460000460,"1415 BISSELL ST
",1000,3015,1.8132593618922908,N,N,Built,
24690100400,"4618 VON PHUL ST
",1000,1962,1.9502177775606542,N,N,Built,
29910405300,"5663 VERNON AV
",1000,6341,0.49883434837011476,N,N,Built,
29910405400,"5701 VERNON AV
",1000,5064,0.4972780475420442,N,N,Built,
29920102700,"5352 VERNON AV
",1000,7679,0.5653222672537804,N,N,Built,
29920203701,"5349 VERNON AV
",1000,9696,0.5998031949862541,N,N,Built,
29920203800,"5355 VERNON AV
",1000,8191,0.5971875941500143,N,N,Built,
24340200700,"4206 GLASGOW AV
",1000,6473,1.8715718282620388,N,N,Built,
4840001800,"1821 PARK AV
",2500,14645,0.6840327219579876,Y,N,Built,
51280002700,"5461 GILMORE AV
",1000,7104,1.1708102247146936,N,N,Built,
15140001300,"2744 UTAH ST
",1000,3208,1.7463140639099062,Y,N,Built,
23820001700,"3646 ST LOUIS AV
",1000,4358,1.305217452513509,N,N,Built,
23840001000,"3714 MAFFITT AV
",1000,5028,1.3164017348503023,N,N,Built,
23840001400,"2615 N SPRING AV
",1000,6000,1.3375550166535966,N,N,Built,
23840003200,"3745 LINCOLN AV
",1000,3500,1.2925968135972519,N,N,Built,
23850300400,"2821 N SPRING AV
",1000,14188,1.3551799730820275,N,N,Built,
23860000250,"2831 N GRAND BLVD
",1000,86990,1.3819507821777148,N,N,Built,
23880400100,"2940 PRAIRIE AV
",1000,8329,1.4510030454459748,N,N,Built,
23890000700,"3722 HEBERT ST
",1000,3897,1.6361726849862088,Y,N,Built,
23900001100,"3620 HEBERT ST
",1000,4296,1.6136331271299302,Y,N,Built,
23920000100,"3750 PALM ST
",1000,10244,1.7223082187498682,Y,N,Built,
23920001551,"3513 N SPRING AV
",1000,3041,1.6789258852806614,Y,N,Built,
23920001700,"3707 HEBERT ST
",1000,3905,1.6719065943259326,Y,N,Built,
23920001800,"3709 HEBERT ST
",1000,3870,1.6727991206419852,Y,N,Built,
23960000400,"3929 PARNELL ST
",1000,3843,1.8283502781899905,Y,N,Built,
23970000300,"3910 PARNELL ST
",1000,4838,1.8205619951940335,Y,N,Built,
23970000400,"3914 PARNELL ST
",1000,4799,1.8263046615512906,Y,N,Built,
23970000500,"3918 PARNELL ST
",1000,3285,1.8310994501580533,Y,N,Built,
23970000600,"3920 PARNELL ST
",1000,3198,1.8348615077218287,Y,N,Built,
23970000700,"3922 PARNELL ST
",1000,6992,1.841017400689928,Y,N,Built,
23970000800,"3926 PARNELL ST
",1000,3610,1.84725623780315,Y,N,Built,
23970000900,"3928 PARNELL ST
",1000,3676,1.8516140668861913,Y,N,Built,
23970001000,"3932 PARNELL ST
",1000,3568,1.8559875357579958,Y,N,Built,
23970001100,"3934 PARNELL ST
",1000,2795,1.8597676472137254,Y,N,Built,
23970001200,"3936 PARNELL ST
",1000,3181,1.8630424572099828,Y,N,Built,
23970001300,"3940 PARNELL ST
",1000,3449,1.8677370225059045,Y,N,Built,
23970001500,"3904 GLASGOW AV
",1000,2124,1.8772403560699293,Y,N,Built,
23970001800,"4013 VEST AV
",1000,4822,1.9059140938029937,Y,N,Built,
23970002000,"4007 VEST AV
",1000,2583,1.9029032372419368,Y,N,Built,
23970002200,"3947 VEST AV
",1000,3585,1.8937553094141057,Y,N,Built,
23970002800,"3929 VEST AV
",1000,6494,1.867986041706187,Y,N,Built,
23970003100,"3917 VEST AV
",1000,9683,1.8460691010220722,Y,N,Built,
23980000900,"3924 VEST AV
",1000,6344,1.8830654685337402,Y,N,Built,
23990001150,"4029 25TH ST
",1000,13183,1.9890409845106154,Y,N,Built,
23990002400,"2519 NEWHOUSE AV
",1000,6530,1.9335702975821811,Y,N,Built,
24010000100,"4006 N 23RD ST
",1000,9103,2.0110100808820808,Y,N,Built,
24010001700,"4027 N 22ND ST
",1000,3175,2.0289362744521218,Y,N,Built,
24010001800,"4025 N 22ND ST
",1000,3468,2.0340432432115803,Y,N,Built,
24010002800,"4001 N 22ND ST
",1000,6855,2.0274932151055176,Y,N,Built,
24020000400,"4012 N 22ND ST
",1000,3575,2.065184408440256,Y,N,Built,
24020000500,"4016 N 22ND ST
",1000,3575,2.060179675896305,Y,N,Built,
24020001800,"4019 N FLORISSANT AV
",1000,3488,2.053522424272584,N,N,Built,
24020001900,"4017 N FLORISSANT AV
",1000,3488,2.0585340740161246,N,N,Built,
24020001950,"4015 N FLORISSANT AV
",1000,3488,2.0635318893612347,N,N,Built,
24020002100,"4009 N FLORISSANT AV
",1000,3488,2.073523300556457,Y,N,Built,
24020002200,"4007 N FLORISSANT AV
",1000,3488,2.0785367556893473,Y,N,Built,
24020002300,"4003 N FLORISSANT AV
",1000,3488,2.0747089155539826,Y,N,Built,
24030001800,"4015 N 21ST ST
",1000,3292,2.02152172777322,N,N,Built,
24040001700,"2109 BREMEN AV
",1000,2682,2.0445733728620077,Y,N,Built,
24040001800,"2111 BREMEN AV
",1000,4892,2.0405214154457214,Y,N,Built,
24040001900,"2115 BREMEN AV
",1000,3170,2.0363611346777093,Y,N,Built,
24050001500,"4015 N 20TH ST
",1000,4163,2.0141286935840936,N,N,Built,
24080002000,"3949 BLAIR AV
",1000,5620,2.0701977183125204,N,N,Built,
24080002100,"3943 BLAIR AV
",1000,6356,2.078017820428331,N,N,Built,
37730003500,"4701 VERNON AV
",1000,2279,0.8253763380700253,N,N,Built,
24110002300,"1415 BREMEN AV
",1000,2144,2.1507349546001664,N,N,Built,
24110002700,"1423 BREMEN AV
",1000,2524,2.1521311222483326,N,N,Built,
24110002900,"1427 BREMEN AV
",1000,2524,2.1527284916402962,N,N,Built,
24110003000,"1429 BREMEN AV
",1000,3366,2.153056505264163,N,N,Built,
24160000400,"4100 N 20TH ST
",1000,4690,1.9725553531764048,N,N,Built,
24160000600,"4108 N 20TH ST
",1000,2924,1.958560681652412,N,N,Built,
